"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"PAQR8",166.316785748433,-0.684535886854664,0.1392169280711,-4.91671962755953,8.80064528687859e-07,2.45597947433218e-06,120.036405576554,-0.591080712590847,0.137713512061398,-4.29021233206851,1.78502369194676e-05,8.6554303121637e-05
"EFHC1",51.1788856745662,-0.959606682631863,0.22873953922521,-4.19251159078769,2.75882981894855e-05,6.57227228160629e-05,33.6639448997783,-0.805511678624641,0.255812714915424,-3.13689545079683,0.00170747001809603,0.00532381124011303
"TRAM2",724.508801981377,-1.22221152912401,0.130916755833804,-9.33510483344032,1.00891358277727e-20,7.27233437801601e-20,459.486120014926,-0.778793330003828,0.109144374856668,-7.13386759781216,9.75872072279321e-13,1.36140429600041e-11
"TMEM14A",263.761435300583,0.717097085038432,0.125966103752749,5.69201843315295,1.255462961686e-08,4.12149054284031e-08,218.186135171297,0.264375210568176,0.138339703636172,1.91093657894716,0.0560127316019495,0.107195428071395
"GSTA5",3170.90704272499,0.49076812691499,0.0874421883741238,5.61246353740947,1.99466249894291e-08,6.42056285813582e-08,2569.72833364288,0.29999528432575,0.113928152887684,2.63320071876323,0.00845843440155214,0.0215787259251853
"KHDC1",0,NA,NA,NA,NA,NA,0.155472854227853,0.0308693743021055,0.15598975903094,0.202538745153386,0.839495571752115,NA
"KCNQ5",23.8432023922243,-0.89621322408998,0.347300696143341,-2.57692067484675,0.00996848243086709,0.0169677216948873,16.587911424309,-0.225281405618359,0.302272790693882,-0.745620083340813,0.455896947449343,0.578569717171849
"RIMS1",13.4161706352229,-0.472244352571065,0.564737882450068,-0.835023887239203,0.403704259035133,0.477459092009294,13.2659693201112,0.0681747569534488,0.36604020388534,0.186861838925707,0.85176896025307,0.899352812699754
"PPP1R14B",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"MIR30A",0,NA,NA,NA,NA,NA,0.265375933516266,-0.000234069216633974,0.156070216280368,-0.00169534766071953,0.998647308924304,NA
"MIR30C2",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"OGFRL1",848.868534591386,-0.417124314779518,0.105508086239299,-3.95346693018637,7.7026914032138e-05,0.000175174831158306,601.962485503216,-0.138394943688273,0.123367062160492,-1.12175628077175,0.261966079578663,0.376808790856526
"B3GAT2",1901.96466427803,1.16175805784692,0.12068631100669,9.62591366490622,6.21520911985392e-22,4.75519558794479e-21,1544.28772605743,0.841455477552823,0.0782680738294307,10.7503997475451,5.90053373861031e-27,3.09220977882138e-25
"SMAP1",719.133284063717,-0.129880362503101,0.063865361397925,-2.03365954943094,0.041985933253796,0.0638290316429536,567.196455297829,-0.0500443965234937,0.0848508236214378,-0.589805131786372,0.555321301811391,0.668097260519275
"SDHAF4",510.576048952101,0.313169647127672,0.0833475392738717,3.75732318443761,0.000171740634631322,0.000372539955575713,428.662041916068,-0.0906307259880795,0.0770237471317513,-1.17665498725273,0.239333240838248,0.350990862395661
"FAM135A",2350.97678864282,0.000997338479898132,0.0689586228720646,0.0144630934451991,0.988460523346712,0.990923307503776,1992.73649618856,0.0160598168764099,0.0718878612540522,0.223401155685268,0.823223304949033,0.87968564769543
"COL9A1",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"COL19A1",12.2669388091382,0.844525794973779,0.409749695511816,2.05360401759358,0.0400140329894006,0.0611154570439628,11.1089186307943,0.36248015202741,0.350641667791561,1.03547477060601,0.30044724288423,0.420175836846133
"LMBRD1",4480.36527694483,0.467181580001202,0.0517905424211358,9.0205702943753,1.87112657636036e-19,1.26722996272105e-18,3896.17618056057,0.219099059187302,0.0833238227694879,2.62948580484109,0.00855141019368187,0.0217936636597354
"ADGRB3",44.472351899462,1.67312376964715,0.243676502879468,6.82951544633144,8.52019229120169e-12,3.54356897517988e-11,51.5807752537173,0.57182384951192,0.19497407931419,2.92947821660562,0.00339531610398131,0.00971164079512821
"PHF3",4830.96551988299,-0.0110334802949192,0.0665119208021602,-0.165886771658532,0.868246057942932,0.895171954089388,3753.14227709823,0.219867356728115,0.0696646521481515,3.15606970761072,0.00159910638541457,0.00501830119442914
"PTP4A1",1823.54681663791,-1.10345972124827,0.0737052119514068,-14.9709749190943,1.13643023005865e-50,2.93303670560532e-49,1223.29955355294,-0.667057438855983,0.109917527943492,-6.06846372638009,1.29139574689177e-09,1.19330699472342e-08
"LGSN",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"KHDRBS2",2.67451428709121,0.0421191033928863,0.617544669289542,0.0685172787577723,0.945373865938464,0.957640352740713,2.72329337801148,0.291679520792247,0.365189124057807,0.800089657040652,0.423658853255095,0.547207763925144
